City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
133,Ribeira Grande,38.5167,-28.7,60.17,71,33,5.86,PT,2022-02-09 02:27:21
134,Manta,-0.95,-80.7333,74.98,83,20,2.3,EC,2022-02-09 02:27:21
135,Nishihara,26.1842,127.7558,66.25,73,100,9.22,JP,2022-02-09 02:27:21
136,Yanam,16.7333,82.2167,72.0,76,88,2.89,IN,2022-02-09 02:27:22
137,Sinnamary,5.3833,-52.95,76.95,85,47,5.75,GF,2022-02-09 02:27:22
138,Benjamin Hill,30.1667,-111.1,63.18,14,0,7.02,MX,2022-02-09 02:27:22
139,Hamilton,39.1834,-84.5333,43.43,70,0,10.36,US,2022-02-09 02:27:23
140,Ulcinj,41.9294,19.2244,39.97,65,0,7.87,ME,2022-02-09 02:27:23
141,Flinders,-34.5833,150.8552,88.18,42,0,11.99,AU,2022-02-09 02:27:23
142,Kachiry,53.0675,76.1036,5.58,97,91,5.88,KZ,2022-02-09 02:28:24
143,Cap-Aux-Meules,47.3821,-61.8597,32.05,100,100,41.43,CA,2022-02-09 02:28:24
144,Agirish,61.9247,63.0231,-0.78,99,99,6.17,RU,2022-02-09 02:28:24
145,Khatanga,71.9667,102.5,1.74,88,98,14.79,RU,2022-02-09 02:28:25
146,Altay,47.8667,88.1167,4.82,74,97,5.88,CN,2022-02-09 02:28:25
147,Hit,33.6416,42.8251,52.09,54,55,8.34,IQ,2022-02-09 02:28:25
148,Touros,-5.1989,-35.4608,79.7,72,7,11.95,BR,2022-02-09 02:28:25
149,Saskylakh,71.9167,114.0833,2.88,85,93,14.79,RU,2022-02-09 02:28:26
150,Rabo De Peixe,37.8,-25.5833,56.28,94,20,9.22,PT,2022-02-09 02:28:26
151,Katobu,-4.9408,122.5276,82.15,78,100,2.73,ID,2022-02-09 02:28:26
152,Grindavik,63.8424,-22.4338,30.67,74,99,33.38,IS,2022-02-09 02:28:27
153,Berdigestyakh,62.0989,126.6992,-23.94,97,95,1.12,RU,2022-02-09 02:28:27
154,Mufumbwe,-13.6833,24.8,63.61,96,100,3.71,ZM,2022-02-09 02:28:27
155,Itarema,-2.9248,-39.9167,78.64,82,38,11.23,BR,2022-02-09 02:28:28
156,Evensk,61.95,159.2333,-1.43,76,2,4.83,RU,2022-02-09 02:28:28
157,Aleksandrov Gay,50.147,48.5704,25.09,94,100,9.46,RU,2022-02-09 02:28:28
158,Puerto Del Rosario,28.5004,-13.8627,69.55,56,90,8.05,ES,2022-02-09 02:28:28
