City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
234,Chabahar,IR,25.2919,60.643,68.4,55,0,2.62,clear sky
235,Mahibadhoo,MV,3.7833,72.9667,80.73,75,32,8.9,scattered clouds
236,Watsa,CD,3.0372,29.5355,66.24,45,54,3.0,broken clouds
237,Saint Anthony,US,45.0205,-93.218,30.13,72,100,7.0,overcast clouds
238,Cabo San Lucas,MX,22.8909,-109.9124,76.6,43,40,7.02,scattered clouds
239,Ostrovnoy,RU,68.0531,39.5131,24.37,86,66,19.13,broken clouds
240,Axim,GH,4.8699,-2.2405,77.67,91,41,4.94,scattered clouds
241,Miraflores,MX,19.2167,-98.8083,65.03,50,24,5.95,few clouds
242,Nador,MA,35.174,-2.9287,57.45,77,20,4.61,few clouds
243,Savannakhet,LA,16.566,104.751,67.42,86,40,3.42,scattered clouds
244,Bojnurd,IR,37.4747,57.329,38.41,49,2,7.9,clear sky
245,Tessalit,ML,20.1986,1.0114,65.39,9,0,8.25,clear sky
246,Qaqortoq,GL,60.7167,-46.0333,16.3,71,95,9.95,overcast clouds
247,Alice Springs,AU,-23.7,133.8833,80.15,34,55,12.66,broken clouds
248,Oktyabrskoye,RU,43.0645,44.7417,33.94,93,100,4.47,light snow
249,Kholmogory,RU,64.2229,41.656,23.11,96,100,6.76,light snow
250,Vostok,RU,46.4856,135.8833,8.87,79,43,1.88,scattered clouds
251,Bitkine,TD,11.9801,18.2138,66.2,11,2,6.6,clear sky
252,Saskylakh,RU,71.9167,114.0833,-4.97,95,74,10.45,broken clouds
253,Norman Wells,CA,65.282,-126.8329,-8.75,91,100,3.8,overcast clouds
254,Ilebo,CD,-4.3167,20.5833,71.65,89,99,0.85,overcast clouds
255,Khandyga,RU,62.6667,135.6,-37.53,100,77,0.63,broken clouds
256,Opuwo,NA,-18.0607,13.84,66.49,87,100,5.93,moderate rain
257,Santa Lucia,ES,27.9117,-15.5407,69.76,56,0,2.3,clear sky
258,Domoni,KM,-12.2569,44.5319,79.02,85,100,8.81,light rain
259,Kruisfontein,ZA,-34.0033,24.7314,61.25,84,0,6.13,clear sky
260,Hat Yai,TH,7.0084,100.4767,75.38,94,20,0.0,few clouds
261,Davila,PH,18.4726,120.5763,77.56,78,57,11.21,broken clouds
262,Necochea,AR,-38.5473,-58.7368,72.03,57,24,9.86,few clouds
263,Ilulissat,GL,69.2167,-51.1,15.82,79,40,19.57,scattered clouds
264,San Patricio,US,28.017,-97.5169,70.21,40,2,7.27,clear sky
265,Mana,GF,5.6592,-53.7767,76.84,82,42,7.38,scattered clouds
266,Nanga Eboko,CM,4.6833,12.3667,66.15,32,44,3.42,scattered clouds
267,Aswan,EG,24.0934,32.907,56.57,47,0,16.31,clear sky
268,Belmopan,BZ,17.25,-88.7667,76.3,94,41,1.14,scattered clouds
269,Khatanga,RU,71.9667,102.5,-4.94,94,99,13.67,overcast clouds
270,Pasni,PK,25.2631,63.471,69.46,29,0,9.75,clear sky
271,Cabedelo,BR,-6.9811,-34.8339,79.63,71,83,12.48,broken clouds
272,Topolevo,RU,48.4994,135.1975,-8.88,83,97,4.47,mist
273,Koygorodok,RU,60.445,50.9968,20.61,94,100,7.4,overcast clouds
274,Sisian,AM,39.5256,46.0251,25.16,86,5,5.14,clear sky
275,Isangel,VU,-19.55,169.2667,77.61,96,100,40.18,heavy intensity rain
276,Baiyin,CN,36.5583,104.2081,21.11,83,98,0.38,overcast clouds
277,Zelenoborsk,RU,61.4669,64.0333,7.75,95,87,10.31,overcast clouds
278,Bowen,AU,-20.0167,148.2333,81.41,63,15,2.15,few clouds
279,Gazojak,TM,41.1875,61.4036,37.15,63,1,11.74,clear sky
280,Coahuayana,MX,18.7333,-103.6833,85.48,49,0,4.74,clear sky
281,Vrangel,RU,42.7297,133.0839,28.0,76,56,3.71,broken clouds
282,Carnarvon,AU,-24.8667,113.6333,79.74,57,0,10.67,clear sky
283,Vardo,NO,70.3705,31.1107,28.45,79,97,21.18,overcast clouds
284,Nuuk,GL,64.1835,-51.7216,22.87,92,100,24.0,overcast clouds
285,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.69,92,100,10.87,overcast clouds
286,Padang,ID,-0.9492,100.3543,75.25,62,100,5.32,overcast clouds
287,Ukiah,US,39.1502,-123.2078,76.66,33,98,1.01,overcast clouds
288,Palmer,US,42.1584,-72.3287,37.81,63,40,8.05,scattered clouds
289,Morant Bay,JM,17.8815,-76.4093,80.22,84,20,5.12,few clouds
290,Pisco,PE,-13.7,-76.2167,72.01,83,8,4.7,clear sky
291,Rio Cuarto,AR,-33.1307,-64.3499,72.68,33,2,11.56,clear sky
292,Erdenet,MN,49.0333,104.0833,-2.45,99,100,1.48,overcast clouds
293,Nome,US,64.5011,-165.4064,-12.84,76,100,3.89,overcast clouds
294,Hami,CN,42.8,93.45,26.01,38,100,5.26,overcast clouds
295,Odienne,CI,9.51,-7.5692,75.65,18,0,2.86,clear sky
296,Wolgast,DE,54.05,13.7667,40.86,90,54,11.43,broken clouds
297,Constitucion,CL,-35.3333,-72.4167,60.01,82,9,10.33,clear sky
298,Pangai,TO,-19.8,-174.35,82.51,74,75,13.8,broken clouds
299,Saint-Francois,FR,46.4154,3.9054,36.68,86,0,4.61,clear sky
300,Poya,NC,-21.35,165.15,80.62,92,100,12.55,overcast clouds
301,Sa Kaeo,TH,13.75,102.3333,78.39,68,22,5.1,few clouds
302,Mahebourg,MU,-20.4081,57.7,74.25,74,78,5.68,broken clouds
303,Formosa,AR,-26.1775,-58.1781,77.63,33,0,3.67,clear sky
304,Sechura,PE,-5.5569,-80.8222,75.47,61,95,15.61,overcast clouds
305,Hit,IQ,33.6416,42.8251,61.39,40,53,19.44,broken clouds
306,Batagay-Alyta,RU,67.8006,130.4114,-28.5,90,53,4.43,broken clouds
307,Sistranda,NO,63.7256,8.834,38.89,57,91,34.43,overcast clouds
308,Zuenoula,CI,7.4292,-6.0431,75.78,33,1,3.2,clear sky
309,Sumbe,AO,-11.2061,13.8437,75.38,79,100,6.4,overcast clouds
310,Tuatapere,NZ,-46.1333,167.6833,73.81,50,25,1.3,scattered clouds
311,Mandera,KE,3.9366,41.867,77.36,24,67,7.45,broken clouds
312,Udachnyy,RU,66.4167,112.4,-4.56,76,100,3.04,overcast clouds
313,Lagoa,PT,39.05,-27.9833,58.75,69,1,16.53,clear sky
314,Porto Novo,BJ,6.4965,2.6036,77.76,89,37,5.35,scattered clouds
315,Nyurba,RU,63.2842,118.3319,-34.2,100,99,1.28,overcast clouds
316,Erzin,TR,36.9559,36.2,43.32,84,92,3.65,overcast clouds
317,Byron Bay,AU,-28.65,153.6167,82.06,59,2,7.18,clear sky
318,Palu,ID,-0.8917,119.8707,76.66,93,100,1.12,overcast clouds
319,Flin Flon,CA,54.7682,-101.865,5.25,97,95,3.06,overcast clouds
320,Somvarpet,IN,12.6,75.8667,57.36,78,15,3.09,few clouds
321,Russell,US,32.3502,-85.1999,55.11,55,0,4.27,clear sky
322,Sabha,LY,27.0377,14.4283,46.85,57,0,12.93,clear sky
323,Katsuura,JP,35.1333,140.3,41.18,83,100,17.78,overcast clouds
324,Mount Isa,AU,-20.7333,139.5,87.57,55,31,10.36,scattered clouds
325,Nurota,UZ,40.5614,65.6886,33.89,42,1,6.22,clear sky
326,Tampakan,PH,6.4442,124.9264,80.49,71,97,1.3,overcast clouds
327,Bitung,ID,1.4451,125.1824,77.85,82,98,7.45,overcast clouds
328,Magalia,US,39.8121,-121.5783,76.55,44,23,5.12,few clouds
329,Severo-Kurilsk,RU,50.6789,156.125,30.94,77,100,20.45,overcast clouds
330,Monrovia,LR,6.3005,-10.7969,79.07,85,2,5.64,clear sky
331,Tilichiki,RU,60.4667,166.1,-10.8,76,9,5.99,clear sky
332,Touros,BR,-5.1989,-35.4608,79.86,70,63,10.63,broken clouds
333,Sayyan,YE,15.1718,44.3244,50.65,35,0,1.07,clear sky
334,Sangre Grande,TT,10.5835,-61.1177,77.05,85,37,6.62,scattered clouds
335,Dalby,AU,-27.1833,151.2667,77.97,48,0,3.0,clear sky
336,Bonnyville,CA,54.2668,-110.735,34.57,90,92,10.22,overcast clouds
337,Beringovskiy,RU,63.05,179.3167,-16.64,86,6,9.78,clear sky
338,Nhulunbuy,AU,-12.2333,136.7667,88.41,70,40,14.97,scattered clouds
339,Tigil,RU,57.8,158.6667,2.05,90,14,1.34,few clouds
340,The Valley,AI,18.217,-63.0578,78.1,67,18,21.12,few clouds
341,Havelock,US,34.8791,-76.9013,49.95,85,1,1.74,clear sky
342,Stromness,GB,58.965,-3.296,35.56,70,100,31.47,overcast clouds
343,Havre-Saint-Pierre,CA,50.2334,-63.5986,20.62,94,59,4.76,broken clouds
344,Chegdomyn,RU,51.1167,133.0167,0.75,95,100,0.83,overcast clouds
345,Bengkulu,ID,-3.8004,102.2655,76.46,65,100,2.15,overcast clouds
346,Barreirinha,BR,-2.7933,-57.07,75.16,95,100,1.21,light rain
