City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
459,Ngunguru,NZ,77.16,broken clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
461,Quatre Cocos,MU,74.08,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
468,Malanje,AO,60.91,broken clouds,-9.5402,16.341,Hotel Ginga
469,Amboasary,MG,75.42,few clouds,-25.0333,46.3833,DISCOVERY AMBOASARY
474,Souillac,MU,74.35,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
476,Parakou,BJ,77.56,broken clouds,9.3372,2.6303,Benin Metropole Hotel
482,Outjo,,65.98,overcast clouds,-20.1167,16.15,Kai-Oms Backpackers Lodge
484,Rawson,AR,64.78,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
485,Tocopilla,CL,68.07,clear sky,-22.092,-70.1979,Hotel Galvarino
488,Miguel Hidalgo,MX,65.59,broken clouds,19.4225,-99.2028,JW Marriott Hotel Mexico City
491,Kavaratti,IN,79.81,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
493,Grabouw,ZA,66.27,scattered clouds,-34.1515,19.0151,Belfield Wines and Farm Cottages
499,Kasane,BW,64.69,scattered clouds,-17.8167,25.15,The Old House
500,Pallisa,UG,69.17,broken clouds,1.145,33.7094,RNM HOTEL
504,Diamantino,BR,70.07,moderate rain,-14.4086,-56.4461,Hotel Delta
505,Guamuchil,MX,71.67,overcast clouds,25.4667,-108.1,Hotel Heredia
508,Beloha,MG,71.22,clear sky,-25.1667,45.05,
509,Lazaro Cardenas,MX,79.32,clear sky,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
514,Ariquemes,BR,73.22,light rain,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
515,Katobu,ID,77.74,overcast clouds,-4.9408,122.5276,La Ode Husein
517,Ramgarh,IN,66.6,overcast clouds,23.6333,85.5167,HOTEL TREAT RESIDENCY
521,Morondava,MG,77.11,overcast clouds,-20.2833,44.2833,La Case Bambou
522,Juan Lacaze,UY,71.11,broken clouds,-34.4342,-57.4381,Posada Agreste
526,Mier,MX,74.08,clear sky,26.4333,-99.15,Mier 09
538,Ladario,BR,75.29,broken clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
539,Porto Velho,BR,73.72,overcast clouds,-8.7619,-63.9039,Hotel Central
544,Tefe,BR,74.91,broken clouds,-3.3542,-64.7114,Aracati Hotel
546,Carnot,CF,65.66,broken clouds,4.9409,15.8665,
547,Bembereke,BJ,74.77,broken clouds,10.2283,2.6634,Hotel Bio Guera
548,Chunhuhub,MX,70.65,broken clouds,19.55,-88.6833,
549,Santarem,BR,77.13,light rain,-2.4431,-54.7083,Ecotur Lodge
553,West Bay,KY,79.07,few clouds,19.3667,-81.4167,Calypso Cove
554,Palasa,IN,65.57,few clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
555,Inirida,CO,74.25,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
560,Kabare,CD,62.1,light rain,-2.4683,28.8242,Hôtel Panorama
564,Mulki,IN,74.48,few clouds,13.1,74.8,Karnire Camping Ground
565,San,ML,76.59,clear sky,13.3034,-4.8956,Hôtel Teriya
566,Adilabad,IN,68.77,broken clouds,19.6667,78.5333,Dwaraka Hotel.
571,Virudunagar,IN,73.8,few clouds,9.6,77.9667,Pushpam Lodge
573,Asaba,NG,77.72,clear sky,6.2006,6.7338,Crimson Suite Hotels
579,Catuday,PH,77.54,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
589,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
590,Soe,ID,73.62,overcast clouds,-9.8607,124.284,Dena Hotel
591,Clovis,US,74.46,haze,36.8252,-119.7029,"Homewood Suites by Hilton Fresno Airport/Clovis, CA"
592,Nishihara,JP,65.48,broken clouds,26.1842,127.7558,Minshuku Agaihama
595,Rumphi,MW,64.65,light rain,-11.0186,33.8575,Finst Rumphi Earthbag House Lodge
599,Limulunga,ZM,67.01,light rain,-15.0969,23.1376,Acamms Gardens
602,Cassilandia,BR,73.45,overcast clouds,-19.1133,-51.7342,Delirius Motel
606,Panaba,MX,68.9,broken clouds,21.2833,-88.2667,Hotel California
612,Fortuna,US,74.08,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
614,Portland,US,61.61,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
616,Te Anau,NZ,72.97,few clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
617,Port Lincoln,AU,67.69,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
618,Vila Do Maio,CV,73.26,broken clouds,15.1333,-23.2167,Hotel Marilu
619,Launceston,AU,71.62,overcast clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
621,San Ramon,US,74.8,broken clouds,37.7799,-121.978,San Ramon Marriott
622,Mato Verde,BR,72.3,moderate rain,-15.3972,-42.8664,Quality Hotel
